question,generated_question,bleu,rouge_l,meteor
The main idea of this passage should be_.,"According to the passage, Over the next two years, the center will train about 5,000 people.",0.012300686288463768,0.15999999999999998,0.15
What did the writer learn from her mother?,"According to the passage, what "" From a continent away, Grandma gave herapproval?",0.020448007360218394,0.2,0.20618556701030927
"While in service, Mussorgsky  _  .","According to the passage, In 1867, he finished Night on Bald Mountain which was his most famous composition.",0.010802314890908065,0.0909090909090909,0.17857142857142858
"Based on this passage, the greatest percentage of TV broadcasting hours to educational is in    _   .","According to the passage, In most countries, fewer than 20% of broadcasting hours are devoted to entertainment.",0.033271889139709514,0.3125,0.319098697969372
"During the workday, the Europeans eat lunch together with the family while the British eat   _  .","According to the passage, The children will play traditional English games such as hopscotch, skipping or doctors and nurses.",0.012109013026441871,0.11764705882352941,0.10869565217391303
"Which description about the ""Sweeping Old Lady"" is right?","Which of the following is true? Although there may be 1,000 ""Sweeping Old Ladies"" in 1,000 people's minds, it cannot prevent the ""Sweeping Old Lady"" fro.",0.10008350737965103,0.26315789473684215,0.6017439350772684
It appears that the writer tends to think highly of the person who sleeps on one side because   _  .,"According to the passage, You have a confident personality.",0.008400549310594101,0.2222222222222222,0.10471204188481677
To children their fathers are usually very   _  .,"According to the passage, Don't shy away from having discussions about your teenage children's love lives.Generally speaking, your children are de.",0.012021577610863726,0.19354838709677416,0.1869158878504673
"According to the passage, carrot juice   _  .","According to the passage, Drinking carrot juice to increase the vitamin A in the diet is said to be good for many parts of the body, including the.",0.09941490945601678,0.35294117647058826,0.47502790178571425
The WHL has listed Borders of France and Spain probably because  _  .,"According to the passage, Surprisingly, people there still use a type of agriculture that used to be common in mountainous areas of Europe but has.",0.009009113474307318,0.1111111111111111,0.13793103448275865
People in the advertisements above want to  _  .,"According to the passage, Travel in good company.",0.03226013518927287,0.13333333333333333,0.21978021978021975
The Chinese usually have their Spring Festival in  _   .,"According to the passage, It means ""come together"".",0.02163211878762423,0.125,0.09803921568627452
Which of the following does NOT result in the fact that they could not do a radio show across Canada?,"Which of the following is true? We don't have radio stations across Canada."" That was a pretty valid   objection.",0.14298943578793025,0.35,0.37500485003686024
Dunn is  _  .,"According to the passage, ""Employees who devoted more of their bonus to prosocial spending experienced greater happiness after receiving the bonus.",0.0,0.0,0.08333333333333334
"For breakfast, they like   _  .","According to the passage, Tony likes sports very much.",0.0,0.15384615384615383,0.2027027027027027
"According to the passage , we can know   _  .","According to the passage, Michael's company continued to slide.",0.10620315618312248,0.47058823529411764,0.5010893246187365
What do you think is the tone of the story?,"According to the passage, what It was the small hours of the morning when we reached London Airport?",0.027166383723579154,0.2857142857142857,0.3126050420168067
"What is the meaning of the word ""fast"" in the phrase ""break the fast""?","According to the passage, what It is also the most neglect  ?",0.020390528108540116,0.23999999999999996,0.1358695652173913
Why do the vegetables and the tree dislike each other?,"According to the passage, why But there is not enough water to drink?",0.018476860420522198,0.08695652173913043,0.13157894736842105
What greatly affected Declan Galbraith in his early singing career?,"According to the passage, what He is an English singer of Scottish and Irish origin?",0.013217947626377298,0.08,0.08620689655172414
Which of the following is true?,Which of the following is true? Even animals have a culture.,0.4617366309441026,0.7058823529411764,0.9197099892588615
What does the author suggest to control our shopping behaviour?,"According to the passage, what In this case, we often go shopping?",0.022416933501922302,0.1818181818181818,0.21929824561403505
"By saying ""Whitney couldn't do it any better today"", the viewer means   _  .","According to the passage, I am inspired and encouraged by her because she proved that even a person who's seen as an underdog  and who has ordinar.",0.008301095462822575,0.04878048780487805,0.10416666666666666
The medals for 2008 Olympic Games are different from those of the past games in which they  _  .,"According to the passage, Jade rings used for casting Olympic medals have been subjected to strict quality controls,and those not up to the standa.",0.012384901282810543,0.2380952380952381,0.17587939698492464
Which of the following is TRUE according to the passage?,Which of the following is true? The fact that the school committee thinks the arts are not worth the investment will certainly make some students believ.,0.14153945350617028,0.3888888888888889,0.5530265748031497
The writer strongly believes that happiness is   _  .,"According to the passage, Stimulus is when a dog barks at you and bares his teeth.",0.014628063653657535,0.17391304347826086,0.15151515151515152
The text is mainly about   _  .,"According to the passage, Not all animals get by on their own.",0.017033186037639283,0.11764705882352941,0.12987012987012989
We can learn from the passage that   _  .,"According to the passage, At the end of the year,an abnormal eel that could swim very well,and also run,climb and fly a little,had the highest ave.",0.008640609739997756,0.16216216216216217,0.17094017094017094
"If you walk out at night in Hong Kong, you can see all those things except   _  .","According to the passage, Research has suggested that light pollution can cause a number of harmful health effects in humans, including sleeplessn.",0.010331208012220438,0.052631578947368425,0.10204081632653061
Timothy's experience as a game ranger was valuable because he   _,"According to the passage, It did cross my mind, however, that we might be in a certain amount of danger.",0.009629943614188135,0.06451612903225806,0.03787878787878788
The author is convinced of the life metaphor Friedman and Martin suggest because she   _  .,"According to the passage, Today, I'd like to focus on an even longer study, an 80-year study which is the subject of a recent book by Howard Fried.",0.009498525867740094,0.13636363636363638,0.14124293785310732
What makes the government decide to build studio schools?,"According to the passage, what The Department for Education will tell the public the building of 12 studio schools - providing for around 3,600 teenage?",0.010713701843513142,0.29411764705882354,0.40990755276469554
"After the boy came in the finals,   _  .","According to the passage, He was about to stop the match when the sensei intervened.",0.015718877363021206,0.18181818181818182,0.18691588785046728
The villagers were told to keep away from the fire mainly because   _  .,"According to the passage, ""Quick, you boys,"" said one of the firemen.",0.018975524537465382,0.16666666666666666,0.1388888888888889
We can infer that the author had thought an intern would be made to   _  .,"According to the passage, Best of all, they treated me as their equal, not just an intern whom they could get to do all the work they didn't want .",0.016604746091696276,0.18181818181818182,0.23954431960049932
"If you are going to do some shopping in Manhattan, you will go to   _  .","According to the passage, The population is about 7.5 million and there are 1.5 million in Manhattan alone.",0.014216645907653848,0.1764705882352941,0.2772207148755456
Agatha will never forget the night because   _  .,"According to the passage, The robber was uncertain.",0.024512401940754224,0.13333333333333333,0.10989010989010987
"To catch a unicorn, the unicorn-trappers had to try all of the following EXCEPT   _  .","According to the passage, Despite the fact that it has never been seen almost everyone is familiar with the legendary unicorn .",0.012285946074705657,0.16666666666666666,0.22727272727272724
The passage tries to tell us   _  .,"According to the passage, Women's fashions change more rapidly than men's.",0.022416933501922302,0.21052631578947367,0.3627873563218391
"According to the text, which of the following is TRUE?","According to the passage, One user of the site, Joseph Meehan, 27, from Birmingham, said,""it's a fun and
exciting website.",0.0599303148053787,0.3125,0.4076086956521739
What happened to the writer at the beginning of the story?,"According to the passage, what I only hoped to bring up my two young brothers?",0.030934588294313718,0.15384615384615383,0.16
When was the environmental symbol of Beijing Olympics made public?,"According to the passage, when Below is a web page from Google?",0.020255986027125642,0.0909090909090909,0.13274336283185842
The power of words lies in_.,"According to the passage, The power of words, then, lies in their associations---the things they bring up before our minds.",0.05121488961114836,0.4444444444444445,0.6320224719101124
The ruler is   _  .,"According to the passage, Alice: Oh, what is that.",0.028517539529041507,0.3333333333333333,0.25862068965517243
The first card was on the table. The second card was  _,"According to the passage, She thought, ""What's in the box?"" She opened it.",0.018476860420522198,0.16,0.10948905109489052
Melatonin is a kind of material to   _  .,"According to the passage, The mechanism which lengthens the eyeball is associated with levels of melatonin , a pigment   which protects the skin a.",0.011833064662823948,0.13333333333333333,0.2803738317757009
"In the author's opinion,  _  .","According to the passage, Or does it matter at all.",0.021105340631872645,0.13333333333333333,0.17857142857142858
Amy likes   _  .,"According to the passage, My favorite color is blue.",0.0,0.0,0.10638297872340427
"In the research, the old people are asked to   _  .","According to the passage, They will record their masters' blood pressure, oxygen levels, or heart rhythms.",0.014628063653657535,0.08,0.15503875968992248
What lesson can we learn form the author's experience?,"According to the passage, what Everyone else finished before I even got halfway?",0.018476860420522198,0.08695652173913043,0.13157894736842105
The significance of the slow speed of tsunamis is that people may  _  .,"According to the passage, There is one type of earthquake disaster that little can be done about.",0.01626739260030573,0.20689655172413793,0.17241379310344826
The best title for the passage should be    _   .,"According to the passage, But the e-schoolbag will change everything.",0.025098621243978974,0.2105263157894737,0.19607843137254904
What time was it in fact when he looked at the clock in the mirror?,"According to the passage, what It was only twenty to twelve?",0.01853140878532704,0.15384615384615383,0.1592356687898089
The writer of the passage is most probably a   _  .,"According to the passage, How about organizing a car wash.",0.022710171642664416,0.3157894736842105,0.33513513513513515
What's the author's attitude towards her having diabetes now?,"According to the passage, what My mom call my doctor?",0.021105340631872645,0.09523809523809525,0.125
"According to the passage, which of the following statements is true?","According to the passage, After allowing for any differences already present in health and lifestyle, the overall death rate among those who were .",0.10414419091986514,0.29411764705882354,0.4438418724133009
English speaking people can often   _   people in the streets in Shanghai.,"According to the passage, Shanghai is a nice city.",0.017182633466700372,0.19999999999999998,0.11718749999999999
Tony often teaches the students to sing  _  songs.,"According to the passage, He is Ling Tao's English teacher.",0.025098621243978974,0.10526315789473685,0.14563106796116504
"What's the right attitude towards the words like probably, many, soon?","According to the passage, what What do these words mean?Such verbal expression is not necessarily to be criticized?",0.01284618972676772,0.12903225806451615,0.1592356687898089
When did the Chinese invent paper according to the passage?,"According to the passage, when They dried the paper in the sun?",0.10025157431478134,0.3636363636363636,0.47082411504424776
How can we get to Mona Island from the island of Puerto Rico?,"According to the passage, how Are you looking for a fun vacation spot?",0.020448007360218394,0.15384615384615385,0.14184397163120566
The author of the passage aims to show teenagers how to   _  .,"According to the passage, Of course the budget  matters a lot, too.",0.0221625475730487,0.2608695652173913,0.22727272727272727
Which of the following is TRUE according to the passage?,Which of the following is true? We had lunch in the mountain.We brought food from home and ate together.,0.19835441454182887,0.4666666666666667,0.6490885416666667
"According to the passage, what is not easy for students in Mount Logan School .?","According to the passage, Each student gets a ""job"" and some money.",0.16511064721533394,0.3846153846153846,0.39789880449221116
One of the signs of carbon monoxide poisoning is   _  .,"According to the passage, C.) studied deaths linked   with carbon monoxide poisoning.",0.03986357128268015,0.380952380952381,0.39122807017543854
The School of Life will start to    _   .,"According to the passage, Program details for the School of Life Australia's Summer Term will be announced in December 2013.",0.13264759167412227,0.35714285714285715,0.6102825745682888
Han Mei has  _  ears.,"According to the passage, She is fourteen years old.",0.0,0.0,0.07692307692307693
A rebellious teenager has the following characteristics EXCEPT   _  .,"According to the passage, The growing need for independence sits at the heart of teenage rebellion.",0.012300686288463768,0.08333333333333333,0.1388888888888889
Where are the peace parks built?,"According to the passage, where ""But animals don' t understand  international  borders?",0.020255986027125642,0.1111111111111111,0.18987341772151897
Why do the tourists give fewer tips?,"According to the passage, why TripAdvisor spokeswoman Emma Shaw said: ""It's been a challenging year for the British economy and Brits are spending ver?",0.009410489957951634,0.125,0.14851485148514854
The main purpose of this speech would be to  _  .,"According to the passage, Good afternoon,and welcome to England.",0.022835060540062107,0.2105263157894737,0.13392857142857142
The writer mainly wants to tell us   _  .,"According to the passage, When we grow up, our parents get old.",0.020255986027125642,0.10526315789473685,0.15625
This passage mainly tells us .,"According to the passage, If they are not sure how to spell a word, they always use a dictionary.",0.0,0.08333333333333333,0.13157894736842107
Anyone can become a member of School Watch because   _  .,"According to the passage, Some members may offer to help schoolmates who have problems with their homework.",0.0,0.07692307692307691,0.0847457627118644
What is implied but not stated directly in the passage?,"According to the passage, what However, in the West,it is common for the family to sit down and watch a movie together.Tim Bridges, from London,says:""I?",0.019051955393615476,0.15384615384615385,0.25925925925925924
Mrs. Bates may be   _  .,"According to the passage, Bates has a very old car.",0.021105340631872645,0.14285714285714288,0.15151515151515152
Who is he having breakfast with?,"According to the passage, who He wants to see his friends?",0.022416933501922302,0.23529411764705885,0.19736842105263158
What do you think of the writer`s father?,"According to the passage, what Finally, there was only one family between the ticket counter and us?",0.013679192123121896,0.15384615384615383,0.12605042016806722
The students' attitude towards the fourth period on each Tuesday afternoon is   _  .,"According to the passage, While she's doing this,she pretends to guide cloth through the machine.",0.015718877363021206,0.13793103448275862,0.0967741935483871
"From the information in the passage, it can be concluded that the United States   _  .","According to the passage, A treaty was signed, and the United States began building the canal.",0.08012120435729668,0.3333333333333333,0.30932049418604646
How do home exchangers normally begin their communication?,"According to the passage, how No budget for your vacation?",0.021105340631872645,0.11111111111111112,0.10752688172043011
The passage is probably taken from a   _  .,"According to the passage, It would lead to a terrible result that there would be no children left in Japan in 1,000 years.",0.009849349468888718,0.19354838709677416,0.2977594339622642
"With the information it collects and processes, SignalGuru is able to   _  .","According to the passage, Fuel consumption fell, too --by about 20% .SignalGuru thus reduces both annoyance and  fuel use, and makes going back an.",0.01041441909198652,0.1142857142857143,0.16025641025641027
What is the passage mainly about?,"According to the passage, what Large modern cites are too big to control?",0.018476860420522198,0.21052631578947367,0.40464743589743596
Which of the following statements is TRUE according to the article?,Which of the following is true? The percentage of households without a car rose again to 9.1 percent against 8.8 percent in 2006.,0.11856660123276004,0.3888888888888889,0.5174974473220086
"Mrs Chen wanted to buy a new dress. Her husband suggested that she buy it from a shop near their home. Mrs Chen disagreed because she had been cheated by that shop. Then she said: "" I won't go there again because  _  .""","According to the passage, We do not normally put them in a composition or letter.",0.002273974170288164,0.07017543859649122,0.04282655246252677
What does Steve Rowson think of the newer football helmets?,"According to the passage, what It affects the way the brain functions?",0.020255986027125642,0.1818181818181818,0.13274336283185842
The five most common cancer forms among women in Shanghai are   _  .,"According to the passage, Breast, colorectal, lung, gastric and thyroid cancers are the five most common cancer forms among women, with breast can.",0.2592494576098376,0.4705882352941176,0.6756849315068494
Many people can't control their weight after the holidays mainly because they   _  .,"According to the passage, Or drink a large glass of water before you eat to help you feel full.",0.010182425646195498,0.0625,0.0641025641025641
What can we learn from the story?,"According to the passage, what There were no more pears for the man?",0.018476860420522198,0.2,0.1724137931034483
"According to the passage, Shanghai's World Financial Center_when completed in 2007.","According to the passage, Taipei 101 is 508 meters tall and was finished in 2003, although Chinese developers have said
Shanghai's World Financial.",0.12740810460323607,0.43243243243243246,0.6851941878679846
What did Stacey complain about Allison?,"According to the passage, what ""
It was our first game?",0.018850319022747353,0.125,0.13157894736842107
"Now, the oldest animal in the world is about at   _   according to the passage.","According to the passage, Aldabra tortoises come from the Aldabra atoll  in the Seychelle islands in the Indian Ocean, and often live to more than.",0.04934494673001858,0.20512820512820512,0.24861878453038674
For what purpose did Livemocha create the website?,"According to the passage, There are more and more companies like Livemocha offeritig online language learning to students throughout the world.",0.010862721615727716,0.13793103448275862,0.09615384615384616
The text is mainly about   _   .,"According to the passage, Washington -- The largest ozone  hole ever observed has opened up over Antarctica, according to the scientists of the US.",0.007913247271422612,0.07142857142857142,0.1111111111111111
What's the best title of this passage?,"According to the passage, what Those make you feel more confident ?",0.017033186037639283,0.2105263157894737,0.2127659574468085
What do we know about Rainbow Montessori school?,"According to the passage, what Rainbow Montessori
790East Duane Ave.,Addison
(408)738-3261
www.rainbow-montessori.com?",0.03986357128268015,0.23076923076923078,0.31562500000000004
"According to this passage, we can know that   _  .","According to the passage, HKU applicants in the mainland are 10,000 students this year, more than doubling last year's applicants.",0.024218026052883736,0.19999999999999998,0.3466576332429991
"If a girl finds a helmet a little bit big for her head, what should she do?","According to the passage, If it doesn't fit correctly.",0.009858594728796832,0.07407407407407408,0.0546448087431694
.What did Mr Douthett think of his dog ?,"According to the passage, ""I was hiding it from people, Rosee included,"" he said.",0.0,0.0,0.0
What did the author do for the residents on sunny days?,"According to the passage, what On Saturday mornings, I would deliver the newspaper to the residents and on Sundays, I helped with morning church servic?",0.020144990145560468,0.2777777777777778,0.31123276561232766
The story tells us    _   .,"According to the passage, Tears keep your eyes clean and healthy.",0.018850319022747353,0.13333333333333333,0.14925373134328357
"According to this passage, British people and Americans have   _   difficulty in understanding each other.","According to the passage, Can they understand me.",0.02709850435615371,0.36363636363636365,0.31356509884117245
"From the text, we can learn that if you join the gym,   _   .","According to the passage, Nutrition is a big part of getting fit; don't overlook it.",0.013217947626377298,0.07142857142857144,0.09202453987730061
People come to visit the Alamo now for   _   .,"According to the passage, I was surprised at the exhibition of rifles , guns , cannons and swords .",0.01340082578177889,0.16666666666666666,0.13636363636363635
"During the FQ test,the researcher measured  .","According to the passage, Asked about managing a New Year's money gift,61percent of the students said they would deposit the money in the bank,whi.",0.007913247271422612,0.11764705882352941,0.18181818181818182
"With the discovery of gravitational waves, we'll   _  .","According to the passage, They used a giant scientific tool called LIGO, which stands for the Laser Interferometer Gravitational-Wave Observatory.",0.009629943614188135,0.20689655172413796,0.12295081967213113
Who is Jim's sister?,"According to the passage, who They are all students?",0.023980296761827107,0.14285714285714285,0.15384615384615385
"What do the sayings ""get your act together"" and ""cut to the chase"" have in common?","According to the passage, what One such saying is ""get your act together""?",0.08034650718062088,0.41379310344827586,0.46517692369413466
.F.W.Woolworth's success mainly owes to  _  .,"According to the passage, He opened a new store in downtown Lancaster, Pennsylyania in 1881.",0.013217947626377298,0.08695652173913045,0.11111111111111112
The author  _  to spend their vacation this year.,"According to the passage, Some friends of ours suggested that we go to Hawaii.",0.0169861974906263,0.18181818181818182,0.14150943396226412
How many students are mentioned in the passage?,"According to the passage, how They are shouting with excitement?",0.02777619034011792,0.22222222222222224,0.4000000000000001
Which of following does the author most probably support according to the passage?,Which of the following is true? Sports can help you keep fit and close to nature.,0.032709344708772174,0.27586206896551724,0.3330498866213152
We can conclude that  _  .,"According to the passage, on a December morning.",0.0,0.0,0.078125
Why did the author want to buy the farm in a hurry?,"According to the passage, why I believe that as long as possible it is better to live free and uncommitted  .It makes but little difference you own a ?",0.009152541620698935,0.15,0.17006802721088435
".After experts first knew about the quake on March 11,warnings were not broadcast   _  .","According to the passage, The earthquake was the most powerful one to hit Japan in the country's history.",0.010802314890908065,0.06060606060606061,0.11494252873563217
Why did Anny's mother ask Anny to pay for the necklace herself? Because   _  .,"According to the passage, why One night, he asked Anny if she loved him?",0.01880756769245147,0.21428571428571427,0.2508169934640523
Which of the following is NOT the advantage of e-readers?,Which of the following is true? The GRE and TOEFL tests might start; officials are deciding.,0.23961829057131984,0.4444444444444444,0.485126253891387
What does the World Book Day survey show?,"According to the passage, what It happened to me recently that I was telling someone how much I had enjoyed reading Barack Obama'sDreamsfromMyFatherand?",0.009849349468888718,0.0625,0.18867924528301888
Stopping growing the desert,"According to the passage, or people cut down the trees.",0.021105340631872645,0.14285714285714288,0.10416666666666667
"Tom Everest who keeps a ""Lazy-bone"" fitness card can go to the center   _   this week.","According to the passage, *Open Time: 10:30 a.m.",0.021609051104274465,0.15384615384615385,0.13964784456587734
The English saying is used at the beginning to show Efron  _  .,"According to the passage, But history, as they say, is a thing of the past.",0.018693000799960027,0.30769230769230765,0.22058823529411764
What is this passage mainly about?,"According to the passage, what A bunch of soldiers armed to the teeth stand by?",0.013217947626377298,0.09523809523809522,0.18749999999999997
The best way to make a reservation at Irene's is by    _   .,"According to the passage, Includes soft drinks, coffee & tea.",0.01859351593152887,0.09523809523809525,0.10791366906474818
"We should appreciate that others can do what you can't, because   _  .","According to the passage, Acknowledge that people need to be different, need to be better at various things.",0.010802314890908065,0.06666666666666667,0.09615384615384616
The following are problems mentioned in the passage Except  _  .,"According to the passage, Our bodies are also about 70 percent water.",0.020255986027125642,0.1904761904761905,0.2793141592920354
Which of the following is true about the pulses of heat in the study?,"Which of the following is true? There were three levels of heat, producing mild, moderate, or strong pain.",0.21042990347620458,0.5,0.5207844975777466
The cognitive interview helped the woman to recall more by   _  .,"According to the passage, The witness first describes what happened in his or her own words, with no interviewer interruptions.",0.012673718536830811,0.13333333333333333,0.19083969465648856
"According to the passage, which of the following are governments most worried about?","According to the passage, There are many older people in the world and there will be many more.",0.1487964117124549,0.3225806451612903,0.4838709677419355
What can we infer from TSA's statement?,"According to the passage, what airports nationwide.""
Body scanners have been controversial  in the United States since they were first used in prisons ?",0.007913247271422612,0.06451612903225806,0.09259259259259259
"Before going to Japan , you need   _","According to the passage, and send letters to
NOVA France , Mr, Sampy (IHT 3/2)
34,BD.",0.014628063653657535,0.08695652173913045,0.10526315789473684
What might be the most suitable title for the passage?,"According to the passage, what He also has no limitations ?",0.022416933501922302,0.20000000000000004,0.28434684684684686
What is the best title for this passage?,"According to the passage, what March 5 is ""Lei Feng Day""?",0.024808415001701823,0.2105263157894737,0.2604166666666667
"Which of the followings is not the reason that causes the ""holiday blues""?","Which of the following is true? Experts say even the more ritual tasks of shopping, decorating, late-night parties, cooking, planning and family reunion.",0.04657469807170698,0.32432432432432434,0.2772207148755456
What can we possibly conclude from the moving story?,"According to the passage, what When I handed them to him, he seemed very grateful.""Now I will be safe from the cold,"" he smiled?",0.01851974703879588,0.1764705882352941,0.2587090163934426
Which of the following is true according to the passage?,Which of the following is true? Six Americans are working on a new highway.,0.26584835766658776,0.5,0.551907719609583
What can get you fined for in Cyprus?,"According to the passage, what There are some strange driving laws in different countries?",0.0169861974906263,0.18181818181818182,0.20618556701030927
The story happened   _  .,"According to the passage, I really need a walking-stick.",0.023980296761827107,0.15384615384615383,0.1785714285714286
The author believes that they actually have a problem in  _  .,"According to the passage, People see science every day.",0.017182633466700372,0.10526315789473685,0.08403361344537816
The author's purpose of writing this passage is to   _  .,"According to the passage, The Children's Book-Show Competition is a chance for young readers to be writers.",0.015138514598766055,0.27586206896551724,0.2734375
